population2021,assault_rate2017,assault_rate2018,assault_rate2019,assault_rate2020,assault_rate2021,auto_theft_rate2017,auto_theft_rate2018,auto_theft_rate2019,auto_theft_rate2020,auto_theft_rate2021,break_and_enter_rate2017,break_and_enter_rate2018,break_and_enter_rate2019,break_and_enter_rate2020,break_and_enter_rate2021,robbery_rate2017,robbery_rate2018,robbery_rate2019,robbery_rate2020,robbery_rate2021,theft_over_rate2017,theft_over_rate2018,theft_over_rate2019,theft_over_rate2020,theft_over_rate2021,homicide_rate2017,homicide_rate2018,homicide_rate2019,homicide_rate2020,homicide_rate2021,shootings_rate2017,shootings_rate2018,shootings_rate2019,shootings_rate2020,shootings_rate2021,theftfrom_motor_vehicle_rate2017,theftfrom_motor_vehicle_rate2018,theftfrom_motor_vehicle_rate2019,theftfrom_motor_vehicle_rate2020,theftfrom_motor_vehicle_rate2021
15594,498.2726,775.9074,795.2027,756.3026,660.5104,79.72363,124.9342,189.0236,187.4596,115.429,219.24,249.8685,312.8666,265.0291,243.6835,132.8727,124.9342,52.14444,135.7466,89.77812,53.14908,39.45292,26.07222,25.8565,44.88906,NA,NA,NA,12.92825,6.412722842,6.643635,NA,32.59027,19.39237,19.23816853,239.1709,433.9821,651.8055,633.4842,371.9379248
10783,427.9739,451.099,284.468,327.746,333.8589,48.6334,19.1957,28.4468,103.0059,120.5601,97.2668,153.5656,94.82269,28.09252,64.917,97.2668,47.98925,66.37588,28.09252,37.09543,38.90672,9.59785,9.482268,9.364173,NA,NA,9.59785,9.482268,NA,18.54771399,NA,NA,NA,9.364173,NA,389.0672,268.7398,265.5035,318.3819,306.0372809
18585,778.032,715.4124,649.4948,585.6595,672.5854,91.53318,101.397,138.7809,71.1549,107.6137,394.7368,354.8896,610.6362,470.717,263.6535,108.6957,78.86436,99.92228,109.4691,96.8523,34.32494,45.06535,11.10248,43.78763,43.04547,NA,NA,NA,10.94691,NA,17.16247,NA,5.551238,5.473454,5.380683347,389.016,360.5228,344.1768,175.1505,161.4205004
19254,432.7108,599.7731,666.2403,599.8422,529.7601,60.25086,64.84033,85.27876,89.45014,212.9428,175.2752,194.521,314.4654,178.9003,119.4557,60.25086,70.24369,69.28899,57.87951,41.54981,27.38675,16.21008,26.64961,26.30887,25.96863,NA,5.403361,5.329922,NA,NA,5.477351,10.80672,31.97953,21.04709,10.38745196,202.662,232.3445,207.867,220.9945,332.3984627
90863,1178.08,1143.316,1001.553,872.3578,1068.642,82.60098,80.29979,73.43116,77.44169,107.8547,349.3615,426.9909,405.6771,400.8746,387.3964,97.49624,147.8536,110.7486,93.38557,94.64799,70.41396,76.47599,90.28422,62.63666,56.12846,2.708229,1.2746,1.203789,3.416545,1.100557983,18.9576,21.6682,12.0379,10.24964,12.10613781,346.6533,290.6087,314.1891,395.1804,252.0277781
30106,1442.678,1468.201,1518.305,1135.866,1086.162,112.0527,93.27392,156.9484,185.3787,245.7982,304.6432,355.8227,262.7179,192.1197,235.8334,231.1086,179.6387,249.0703,121.3388,142.8287,35.01646,17.27295,13.64769,30.33469,13.28639,NA,6.909179,6.823843,6.741043,NA,10.50494,17.27295,27.29537,23.59365,16.60798512,385.181,269.458,194.4795,434.7973,468.3451804
37742,863.6169,883.3478,702.0238,675.9486,641.1955,920.6213,1411.679,1335.491,1085.288,1290.34,356.2776,475.2188,370.2079,298.9255,259.6577,350.5772,254.3818,197.4442,204.6697,143.0767,165.3128,142.5656,178.2482,150.8092,148.3758,NA,5.590809,5.484561,8.079067,2.64956812,31.35243,44.72647,52.10333,18.85116,15.89740872,632.749,1098.594,973.5096,1007.19,996.2376133
28625,369.4221,397.8156,389.9961,329.2268,314.4105,69.49525,126.5777,121.6501,173.4636,206.1135,153.6211,144.6602,135.96190000000001,53.1011,87.33624,58.52231,57.86409,28.62356,60.18125,34.9345,18.28822,14.46602,3.577945,21.24044,24.45415,NA,NA,NA,NA,NA,NA,3.616506,3.577945,3.540074,6.986899563,157.2787,227.8399,189.6311,247.8052,206.1135371
18664,1065.56,1214.575,1212.753,961.5907,980.4972,151.4217,160.8341,137.1893,173.8469,176.811,280.4105,266.2082,224.9904,173.8469,187.5268,314.0598,177.4721,137.1893,135.8179,150.0214,22.43284,110.9201,32.92542,48.89444,16.07372,NA,5.546004,5.487571,NA,10.71581655,22.43284,22.18402,10.97514,5.432716,10.71581655,420.6158,316.1222,373.1548,396.5883,342.9061294
23464,473.4765,439.3597,423.2713,424.5647,421.9229,162.2096,243.6054,172.7638,257.312,357.9952,170.9776,169.6537,116.6156,60.03946,72.45142,61.37659,78.30172,64.78642,30.01973,38.35663,26.30425,13.05029,8.638189,30.01973,34.09478,8.768085,NA,NA,NA,4.261847937,39.45638,8.700191,12.95728,8.577065,25.57108762,206.05,230.5551,177.0829,283.0432,400.6137061
14184,249.7062,298.0301,323.9274,235.378,190.3553,154.2303,50.88319,151.1661,114.1227,204.4557,279.0834,210.8018,151.1661,235.378,70.50198,36.7215,58.15221,43.19033,14.26534,14.1004,22.0329,14.53805,14.39678,14.26534,14.1004,NA,7.269027,7.198388,NA,NA,NA,21.80708,28.79355,7.132668,NA,51.41011,210.8018,165.5629,235.378,190.3553299
19229,321.2299,447.5274,469.8683,432.1844,483.6445,160.6149,223.7637,234.9342,229.4312,447.2411,309.7574,290.8928,240.3978,176.0751,176.8163,74.57121,61.53502,65.56302,85.36976,41.60383,28.68124,50.34683,21.85434,26.67805,36.40335,NA,NA,NA,NA,5.200478444,5.736248,NA,5.463585,16.00683,5.200478444,395.8011,363.616,371.5238,400.1707,384.8354049
